Date,Sequence Number,Service Provider Name,Location,Type,Discount Sum,Amount,Balance
"24 July 2026 06:31 a.m.","0","Union Pearson Express","Pearson Station","Tap Off","0","$0.00","$60.01"
"24 July 2026 06:03 a.m.","1","Union Pearson Express","Union Station","Tap On","0","$9.25","$60.01"
"20 July 2026 08:17 a.m.","0","Union Pearson Express","Union Station","Tap Off","0","$0.00","$69.26"
"20 July 2026 07:50 a.m.","1","Union Pearson Express","Pearson Station","Tap On","0","$9.25","$69.26"
"13 July 2026 04:59 p.m.","0","Union Pearson Express","Pearson Station","Tap Off","0","$0.00","$78.51"
"13 July 2026 04:31 p.m.","1","Union Pearson Express","Union Station","Tap On","0","$9.25","$78.51"
"09 July 2026 09:13 a.m.","0","GO Transit","Union Station Rail","Tap Off","2.16","$7.74","$87.76"
"09 July 2026 08:20 a.m.","1","GO Transit","Burlington GO Rail","Tap On","0","$3.70","$95.50"
"06 July 2026 06:38 p.m.","0","GO Transit","Burlington GO Rail","Tap Off","2.16","$7.74","$99.20"
"06 July 2026 05:47 p.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$106.94"
"03 July 2026 12:15 p.m.","0","PRESTO System","","Load Amount","0","$75.00","$110.64"
"02 July 2026 09:59 p.m.","0","Union Pearson Express","Union Station","Tap Off","0","$0.00","$35.64"
"02 July 2026 09:33 p.m.","1","Union Pearson Express","Pearson Station","Tap On","0","$9.25","$35.64"
"27 June 2026 08:11 a.m.","0","Union Pearson Express","Pearson Station","Tap Off","0","$0.00","$44.89"
"27 June 2026 07:45 a.m.","1","Union Pearson Express","Union Station","Tap On","0","$9.25","$44.89"
"23 June 2026 07:16 p.m.","0","GO Transit","Union Station Rail","Tap Off","2.16","$7.74","$54.14"
"23 June 2026 06:22 p.m.","1","GO Transit","Burlington GO Rail","Tap On","0","$3.70","$61.88"
"20 June 2026 10:05 a.m.","0","GO Transit","Burlington GO Rail","Tap Off","2.16","$7.74","$65.58"
"20 June 2026 09:14 a.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$73.32"
"16 June 2026 07:20 p.m.","0","PRESTO System","","Load Amount","0","$50.00","$77.02"
"14 June 2026 10:38 p.m.","0","Union Pearson Express","Union Station","Tap Off","0","$0.00","$27.02"
"14 June 2026 10:12 p.m.","1","Union Pearson Express","Pearson Station","Tap On","0","$9.25","$27.02"
"11 June 2026 05:54 a.m.","0","Union Pearson Express","Pearson Station","Tap Off","0","$0.00","$36.27"
"11 June 2026 05:28 a.m.","1","Union Pearson Express","Union Station","Tap On","0","$9.25","$36.27"
"08 June 2026 05:22 p.m.","0","GO Transit","Union Station Rail","Tap Off","2.16","$7.74","$45.52"
"08 June 2026 04:05 p.m.","1","GO Transit","West Harbour GO Rail","Tap On","0","$3.70","$53.26"
"05 June 2026 07:53 p.m.","0","GO Transit","West Harbour GO Rail","Tap Off","2.16","$7.74","$56.96"
"05 June 2026 06:35 p.m.","1","GO Transit","Union Station Rail","Tap On","0","$3.70","$64.70"
"03 June 2026 08:15 a.m.","0","PRESTO System","","Load Amount","0","$60.00","$68.40"
